sign,stock,fire_date,score,corr_mode,q,r_k3,mfe_03,mae_03,baseline_r,cut_θ-1,cut_θ-2,cut_θ-3,policy_r_θ-1,policy_r_θ-2,policy_r_θ-3
rev_nlo,8630.T,2023-10-12,0.341246,mid,Q2,0.017678,0.023780,-0.011108,0.115483,0,0,0,0.115483,0.115483,0.115483
div_gap,8630.T,2024-04-03,0.348635,high,Q4,0.045147,0.050629,0.005160,0.067720,0,0,0,0.067720,0.067720,0.067720
div_gap,8630.T,2024-04-18,0.118288,high,Q1,0.003884,0.004207,-0.030097,0.046926,0,0,0,0.046926,0.046926,0.046926
div_gap,8630.T,2024-04-19,0.167233,high,Q2,0.003290,0.024013,0.000987,0.140415,0,0,0,0.140415,0.140415,0.140415
div_gap,8630.T,2024-08-29,0.123020,high,Q2,-0.005263,0.045029,-0.010819,-0.024672,0,0,0,-0.024672,-0.024672,-0.024672
rev_nlo,8630.T,2024-04-26,0.380091,high,Q1,0.008387,0.019355,-0.016452,0.087419,0,0,0,0.087419,0.087419,0.087419
rev_nlo,8630.T,2024-08-13,0.729445,high,Q4,0.024768,0.054799,0.009907,0.046243,0,0,0,0.046243,0.046243,0.046243
rev_nlo,8630.T,2024-09-17,0.404672,high,Q2,0.024984,0.044035,0.016864,0.105906,0,0,0,0.105906,0.105906,0.105906
rev_nlo,8630.T,2024-10-09,0.324535,high,Q1,0.010523,0.020746,-0.011425,0.114376,0,0,0,0.114376,0.114376,0.114376
div_gap,8630.T,2025-12-18,0.156466,mid,Q2,-0.003196,0.012782,-0.012782,0.094921,0,0,0,0.094921,0.094921,0.094921
rev_nlo,8630.T,2025-11-27,0.306742,mid,Q1,0.020821,0.034971,-0.000404,0.087859,0,0,0,0.087859,0.087859,0.087859
rev_nlo,8697.T,2022-06-27,0.333986,high,Q1,-0.057334,-0.000239,-0.075012,-0.071130,0,0,0,-0.071130,-0.071130,-0.071130
rev_nlo,8697.T,2022-09-14,0.463623,high,Q2,-0.014670,0.001712,-0.018093,-0.051861,1,0,0,-0.023472,-0.051861,-0.051861
rev_nlo,8697.T,2022-10-11,0.389032,high,Q1,0.025828,0.044091,-0.010436,0.008609,0,0,0,0.008609,0.008609,0.008609
div_gap,8697.T,2024-02-01,0.268429,mid,Q3,-0.009827,0.002978,-0.026802,0.095243,0,0,0,0.095243,0.095243,0.095243
rev_nlo,8697.T,2023-07-20,0.511659,mid,Q3,-0.003769,0.012144,-0.011725,0.119400,0,0,0,0.119400,0.119400,0.119400
div_gap,8697.T,2024-06-04,0.109344,high,Q1,-0.010040,0.029591,-0.012417,-0.087186,1,0,0,-0.009775,-0.087186,-0.087186
div_gap,8697.T,2024-07-30,0.076970,high,Q1,-0.163059,0.025108,-0.174892,-0.147058,0,0,0,-0.147058,-0.147058,-0.147058
div_gap,8697.T,2024-11-18,0.144541,high,Q2,-0.025013,0.013594,-0.027189,-0.091898,1,1,0,-0.016585,-0.016585,-0.091898
div_gap,8697.T,2024-11-28,0.073447,high,Q1,0.037409,0.038247,0.013400,-0.078448,0,0,0,-0.078448,-0.078448,-0.078448
rev_nlo,8697.T,2024-04-26,0.610301,high,Q3,-0.056269,-0.046249,-0.112282,-0.055241,1,1,1,-0.060380,-0.060380,-0.060380
rev_nlo,8697.T,2024-08-13,0.703046,high,Q4,-0.000884,0.041261,-0.005305,0.100628,0,0,0,0.100628,0.100628,0.100628
div_gap,8697.T,2025-12-15,0.476489,mid,Q4,-0.038972,-0.024538,-0.049654,0.066686,1,1,1,-0.032333,-0.032333,-0.032333
div_gap,8697.T,2026-01-15,0.085548,mid,Q1,-0.017058,0.001398,-0.037192,-0.091096,1,0,0,-0.012304,-0.091096,-0.091096
div_gap,8697.T,2026-02-20,0.200043,high,Q3,0.126616,0.128462,0.044579,-0.000041,0,0,0,-0.000041,-0.000041,-0.000041
rev_nlo,8697.T,2025-11-27,0.322442,mid,Q1,-0.023034,0.001124,-0.034270,-0.057865,1,1,0,-0.022191,-0.022191,-0.057865
div_gap,8725.T,2022-06-29,0.170135,mid,Q2,0.050959,0.051201,0.010920,0.003397,0,0,0,0.003397,0.003397,0.003397
div_gap,8725.T,2022-07-25,0.175765,mid,Q2,-0.010543,0.006188,-0.015815,-0.063176,1,0,0,-0.006647,-0.063176,-0.063176
div_gap,8725.T,2022-09-30,0.123542,high,Q2,0.027020,0.037672,0.006495,0.057575,0,0,0,0.057575,0.057575,0.057575
div_gap,8725.T,2022-12-07,0.109612,mid,Q1,0.028498,0.031606,0.003627,0.079293,0,0,0,0.079293,0.079293,0.079293
rev_nlo,8725.T,2022-10-11,0.327908,high,Q1,-0.002584,0.016796,-0.018346,0.010594,0,0,0,0.010594,0.010594,0.010594
